id,gene,chr,fpos,tpos,strand,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50
cg00000016,Gene3791,12,18979227,18979227,+,0.04,0.82,0.38,0.94,0.63,0.72,0.27,0.38,0.32,0.89,NA,0.55,0.18,0.2,0.29,0.39,0.07,0.08,0.24,0.17,0.89,0.79,0.84,0.85,0.4,0.88,NA,0.3,0.74,0.8,0.77,0.47,0.68,0.95,0.46,0.47,0.33,0.11,0.7,0.62,0.97,0.3,NA,0.4,0.75,0.93,0.36,0.78,0.17,0.18
cg00000017,Gene734,10,6783827,6783827,-,0.67,0.59,0.86,0.78,0.68,0.14,0.29,0.05,0.43,0.43,0.85,0.78,0.44,0.51,0.11,0.19,0.14,0.58,0.31,NA,0.4,0.32,0.96,0.42,0.83,0.52,0.77,0.18,0.49,0.36,0.7,0.51,0.48,0.64,0.88,0.88,0.27,0.94,0.61,0.77,0.75,NA,0.32,NA,0.23,0.24,NA,0.84,0.66,0.8
cg00000018,Gene1884,1,59860506,59860506,-,0.17,0.85,0.71,0.6,0.96,NA,0.14,0.74,0.69,0.74,0.89,0.47,0.08,0.13,0.08,0.38,0.01,0.43,0.76,0.9,0.92,0.5,0.9,0.19,0.89,0.56,0.9,0.81,0.3,0.01,0.7,0.58,0.42,0.47,0.56,0.16,0.97,0.34,0.59,0.11,0.06,0.48,0.62,0.82,0.98,0.61,0.43,NA,0.34,0.45
cg00000019,Gene1680,17,35956347,35956347,+,0.68,NA,0.27,0.32,0.97,0.11,0.47,0.34,0.68,0.31,0.1,0.37,0.94,0.77,0.48,0.75,0.79,0.18,0.47,0.78,0.8,0.76,0.04,0.68,0.85,0.22,0.02,0.91,0.68,0.13,0.41,0.91,0.71,0.85,0.59,0.91,0.86,0.37,0.24,0.17,0.29,0.58,0.47,0.82,0.48,0.99,0.39,0.4,0.19,0.55
cg00000020,Gene4294,8,65309859,65309859,-,0.1,0.78,0.47,0.97,0.55,0.57,0.68,0.41,0.97,0.72,0.76,0.13,0.25,0.67,0.39,0.47,0.19,0.6,0.84,0.86,0.6,0.78,0.28,0.77,0.9,0.8,0.78,0.23,0.5,0.57,0.69,NA,0.74,0.8,0.9,0.53,0.49,0.82,0.48,0.23,0.43,0.4,0.6,0.03,0.05,0.99,0.01,0.34,0.44,0.03
cg00000021,Gene3970,22,33829749,33829749,-,0.02,0.99,0.69,0.56,0.03,0.58,0.17,0.98,0.56,0.74,0.96,0.89,0.43,0.76,0.29,1.0,0.9,0.7,0.18,0.46,NA,0.8,0.48,0.69,0.51,0.84,0.66,0.86,0.18,0.17,0.26,0.71,0.01,0.69,0.85,0.5,0.16,0.46,0.22,0.45,0.43,0.0,0.1,0.49,0.47,0.99,NA,0.85,0.91,0.72
cg00000022,Gene925,Y,1099541,1099541,+,0.97,0.8,NA,0.18,0.2,0.4,0.66,0.55,0.66,0.01,0.49,0.11,0.67,0.61,0.86,0.77,0.59,0.74,0.06,0.28,0.3,0.52,0.95,0.76,0.75,0.13,0.16,0.11,0.95,0.9,0.25,0.56,0.23,0.58,0.48,0.47,NA,0.28,0.06,0.69,0.21,0.07,0.19,0.53,0.53,0.41,0.62,0.22,0.53,0.51
cg00000023,Gene3854,9,58250200,58250200,+,0.85,0.85,0.75,0.85,0.37,0.76,0.98,0.15,0.11,0.7,0.24,0.62,0.35,0.46,0.65,0.88,0.41,0.29,0.6,0.66,0.73,0.12,0.86,0.38,0.54,0.38,0.4,0.07,0.72,0.22,0.48,0.86,0.23,0.46,0.06,0.98,0.57,0.16,0.4,0.14,0.41,0.15,0.15,0.94,0.85,0.27,0.73,0.24,0.37,0.25
cg00000024,Gene2707,6,69104381,69104381,-,0.83,0.32,0.55,NA,NA,0.55,0.18,NA,0.62,0.77,0.45,0.49,0.58,0.49,0.63,0.63,0.24,0.65,0.81,0.2,0.22,0.12,0.62,0.52,NA,0.55,NA,0.06,0.81,0.98,0.63,0.81,0.77,0.7,0.04,0.39,0.8,0.77,0.61,0.58,0.03,0.01,0.52,0.19,0.91,0.06,0.24,0.49,0.79,0.59
cg00000025,Gene4077,22,87767797,87767797,+,0.7,0.92,0.58,0.28,0.82,0.21,0.61,0.33,0.71,0.48,NA,0.24,0.3,0.69,0.19,0.9,0.25,0.91,0.44,0.05,0.72,NA,0.66,0.73,0.08,0.25,0.66,0.96,0.53,0.71,0.29,0.17,0.16,0.32,0.01,0.37,0.23,0.72,0.54,0.05,0.43,0.72,0.18,0.94,0.54,0.24,0.78,0.17,0.78,0.18
cg00000026,Gene3331,X,72760258,72760258,-,0.42,0.7,0.25,0.66,0.85,0.07,0.2,0.01,0.09,0.94,0.6,0.74,0.24,NA,0.29,0.52,0.3,0.2,0.72,0.44,0.38,0.92,0.59,0.25,0.73,0.99,0.38,0.51,0.16,0.18,0.66,0.82,0.75,0.11,0.69,0.32,0.71,0.98,0.38,0.86,0.3,0.79,0.08,0.01,0.98,0.91,0.69,0.07,0.4,0.36
cg00000027,Gene371,6,37321956,37321956,+,0.89,0.32,NA,0.14,NA,0.39,0.66,0.11,0.75,0.1,0.01,0.38,0.37,0.66,0.63,0.3,0.54,0.44,0.23,0.94,0.16,0.16,0.68,0.71,0.94,0.64,0.33,0.47,0.16,0.93,0.93,0.17,0.31,0.58,0.72,0.93,0.4,0.97,0.7,0.2,0.47,0.33,0.95,0.04,0.81,NA,0.52,0.92,0.7,0.78
cg00000028,Gene4282,8,77482572,77482572,+,0.77,0.65,0.85,0.24,0.55,0.11,NA,0.03,0.24,0.66,0.62,0.5,0.78,NA,0.62,0.39,0.0,0.22,0.99,0.41,0.98,0.01,0.86,NA,0.77,0.49,0.09,0.65,0.07,0.6,0.92,NA,0.11,0.62,0.51,0.58,0.92,0.37,0.4,0.45,0.74,0.59,0.37,0.05,0.33,0.98,0.5,0.8,0.26,0.0
cg00000029,Gene3808,17,96139025,96139025,+,0.48,0.66,NA,0.02,0.84,0.93,0.29,0.28,0.2,0.45,0.59,0.93,0.25,0.58,1.0,0.51,0.47,0.39,0.27,0.61,0.74,0.6,0.88,0.58,0.84,0.49,0.86,0.96,0.27,0.91,0.37,0.77,0.6,0.4,0.19,0.81,0.51,0.61,0.44,0.2,0.14,0.14,0.21,0.53,0.5,0.76,0.82,0.79,0.91,0.48
cg00000030,Gene4364,4,78500687,78500687,+,0.8,0.75,0.64,0.37,0.83,0.67,NA,0.03,0.65,0.02,0.28,0.85,0.34,0.67,0.54,0.06,0.0,0.06,0.84,0.1,0.84,0.07,0.1,0.22,0.31,0.87,NA,0.35,0.66,0.78,0.63,0.73,0.48,0.6,0.67,0.96,0.65,0.12,0.63,0.02,0.15,0.75,0.79,0.63,0.28,0.18,0.5,0.93,0.01,0.57
cg00000031,Gene2544,2,27837713,27837713,+,0.52,0.94,0.6,0.21,NA,0.22,0.18,0.1,0.94,0.75,0.51,0.98,0.47,0.33,0.6,0.12,0.17,0.24,0.95,0.56,0.39,0.59,0.76,0.75,0.92,0.12,0.73,0.31,0.34,0.65,0.88,0.63,0.72,0.77,0.98,0.87,0.83,NA,0.95,0.4,0.84,0.98,0.54,0.54,0.54,0.94,0.6,NA,0.91,0.08
cg00000032,Gene1974,3,26802645,26802645,+,0.15,0.07,0.56,0.61,0.08,0.75,0.58,0.08,0.41,0.95,0.88,0.14,0.27,0.74,0.71,0.65,0.32,0.87,0.26,0.96,0.85,0.88,0.3,0.49,0.37,0.46,0.59,0.53,0.49,0.67,0.86,0.15,0.45,0.74,0.53,0.4,0.54,0.06,0.49,0.82,NA,0.39,0.9,0.82,0.13,0.91,0.05,0.51,0.56,0.22
cg00000033,Gene620,4,41753165,41753165,+,0.9,0.43,0.17,0.25,0.65,0.22,0.64,0.34,0.34,0.92,0.86,0.57,0.8,0.07,0.53,0.68,0.86,0.89,0.73,0.46,0.7,0.94,0.76,0.19,0.9,0.5,0.42,0.19,0.33,0.22,0.23,0.08,0.84,0.59,0.18,1.0,0.77,0.57,0.1,0.51,0.47,0.76,0.66,0.87,0.74,0.92,0.23,0.67,0.59,0.9
cg00000034,Gene2553,12,99964510,99964510,-,0.52,0.66,0.26,0.21,0.9,NA,0.67,0.95,0.39,0.13,0.79,0.5,0.95,0.07,0.79,0.21,0.7,0.91,0.51,0.23,0.71,0.12,NA,0.73,0.1,0.04,0.42,0.18,0.72,NA,0.53,0.04,0.28,0.6,0.23,0.35,0.62,0.08,0.12,0.13,0.72,0.62,0.34,0.77,0.7,0.95,0.8,0.16,0.15,0.11
cg00000035,Gene2080,21,83530772,83530772,-,0.23,0.36,0.65,0.72,0.22,0.74,0.58,0.16,0.52,0.33,0.33,0.25,0.62,0.48,0.4,NA,0.1,0.87,0.7,0.98,0.7,0.21,NA,NA,0.21,0.67,0.01,0.87,0.73,0.09,0.64,0.53,0.35,0.98,0.84,0.08,NA,0.99,0.26,0.01,0.83,0.81,0.59,0.3,0.87,0.69,0.29,0.59,NA,0.99
cg00000036,Gene967,X,84383215,84383215,+,0.8,0.99,0.61,0.99,0.36,0.23,0.7,0.54,0.9,0.23,0.27,0.33,0.5,0.0,0.0,0.78,0.04,0.91,0.24,0.13,0.57,NA,0.27,0.67,NA,0.19,0.7,0.58,0.77,0.82,1.0,NA,0.82,0.32,NA,NA,NA,0.75,0.41,0.86,0.76,0.3,0.84,0.99,0.65,0.95,0.14,0.56,0.39,0.99
cg00000037,Gene464,5,67345175,67345175,-,0.5,0.08,0.09,0.23,0.18,0.82,0.5,0.46,0.63,0.53,0.38,NA,0.35,0.65,0.61,0.63,0.68,0.49,0.59,0.12,0.18,0.6,0.74,0.1,0.87,0.29,0.88,0.01,0.87,0.38,0.49,0.47,0.87,0.84,NA,0.98,0.15,0.63,NA,0.94,0.47,0.26,0.45,0.05,0.97,0.34,0.47,0.71,0.4,0.66
cg00000038,Gene1061,18,95575445,95575445,-,0.09,0.95,0.82,0.86,0.72,0.86,0.35,0.83,0.01,0.55,NA,0.86,0.14,0.83,0.14,0.71,0.18,0.3,0.2,0.19,0.06,0.14,0.82,NA,NA,0.15,0.65,0.92,0.87,0.32,0.21,0.51,0.72,0.52,0.87,0.92,0.52,0.66,NA,0.72,NA,0.04,0.82,0.05,0.5,0.7,NA,NA,0.36,0.01
cg00000039,Gene3096,4,22373166,22373166,-,0.23,0.46,0.47,0.7,0.58,NA,0.6,0.39,0.65,0.24,0.7,0.45,0.19,0.16,0.98,0.11,0.5,0.69,0.72,0.68,0.53,NA,0.42,0.14,0.1,0.76,0.14,0.9,0.68,0.16,0.68,0.91,0.96,0.22,0.83,0.8,0.15,0.42,0.81,0.29,0.42,0.21,0.15,0.88,0.79,0.24,0.1,0.85,0.46,0.06
cg00000040,Gene297,8,55792233,55792233,+,0.26,0.23,0.38,0.68,0.8,0.9,0.07,0.23,0.76,0.27,0.8,0.54,0.23,0.75,0.78,0.22,0.49,0.55,0.45,0.35,NA,0.2,0.86,0.2,0.83,0.51,0.85,0.94,0.02,0.21,0.17,0.13,0.54,0.79,0.35,1.0,0.24,0.81,0.82,0.74,0.22,0.14,0.58,0.75,0.0,0.15,0.51,0.49,0.34,0.34
cg00000041,Gene2700,X,16113232,16113232,-,0.49,0.4,0.79,0.12,0.78,0.93,0.1,0.47,0.85,0.14,0.84,0.19,0.95,0.51,0.37,0.77,0.67,0.05,0.99,0.21,NA,NA,0.99,0.44,0.6,0.89,0.71,0.06,0.2,0.5,0.25,0.26,0.92,0.86,0.77,0.55,0.29,0.99,0.46,0.94,0.71,0.79,0.34,0.96,0.09,0.42,0.38,NA,0.93,0.86
cg00000042,Gene2413,16,7085685,7085685,-,0.26,0.89,0.22,0.45,0.66,0.38,0.59,NA,0.28,0.25,0.58,0.85,0.65,0.73,0.68,0.17,0.64,0.09,0.32,0.4,0.92,0.87,0.6,0.07,0.84,0.88,0.25,0.91,0.81,0.78,0.28,0.95,NA,0.96,0.3,0.17,0.94,0.87,0.13,0.84,0.46,0.61,NA,0.98,0.03,0.79,0.11,0.33,0.88,0.13
cg00000043,Gene4332,6,63440458,63440458,-,0.73,0.54,0.29,0.55,0.73,1.0,0.57,0.7,0.57,0.8,0.79,NA,0.63,0.04,0.94,0.3,0.3,0.7,0.49,0.26,0.42,NA,0.03,0.78,NA,0.42,0.85,0.89,NA,0.79,0.85,0.02,0.74,0.78,0.93,0.16,0.5,0.06,0.69,0.47,0.96,0.29,0.46,NA,0.06,0.76,0.33,0.83,NA,0.2
cg00000044,Gene3336,3,37852897,37852897,-,0.82,0.86,NA,0.54,0.48,0.77,0.71,0.73,0.42,0.27,0.21,0.18,0.79,0.64,0.73,0.86,NA,0.76,0.22,0.29,0.07,NA,0.97,0.11,0.15,NA,0.65,0.98,0.18,0.99,0.48,0.66,0.98,0.72,0.2,0.97,0.04,0.79,0.66,0.15,0.62,0.56,0.65,0.54,0.16,0.33,0.69,0.06,0.95,0.56
cg00000045,Gene2346,20,8011966,8011966,-,0.11,0.23,0.94,0.32,0.23,0.68,0.4,0.23,0.78,0.3,0.19,0.27,0.42,0.42,0.12,0.21,0.94,0.32,0.67,0.52,0.0,0.81,0.68,0.39,0.47,0.13,0.12,0.39,0.6,0.93,0.03,0.03,0.34,0.16,0.97,0.87,NA,0.97,0.98,0.26,0.94,0.88,1.0,0.01,0.22,0.4,0.63,0.03,0.12,0.77
cg00000046,Gene1522,14,7540475,7540475,-,0.86,0.34,0.64,0.72,0.62,0.72,0.87,0.11,0.44,0.26,0.14,0.94,0.61,0.07,0.86,0.65,0.64,0.39,0.41,0.14,0.34,0.78,0.26,0.93,0.61,0.29,0.14,0.27,0.99,0.48,0.56,0.42,0.28,0.37,0.59,NA,0.22,0.84,0.38,0.94,NA,0.36,0.54,0.39,0.98,0.62,0.98,0.32,0.36,0.02
cg00000047,Gene137,18,86995813,86995813,-,0.35,0.1,0.72,0.27,0.77,0.18,0.76,0.84,0.21,1.0,0.24,0.01,0.73,0.63,0.01,0.5,0.2,0.56,0.33,0.69,0.38,0.52,0.08,0.35,0.42,0.51,NA,0.24,0.58,0.39,0.61,0.56,0.04,0.98,0.09,0.16,0.87,0.55,0.28,0.84,0.39,0.62,0.27,0.76,0.26,0.29,0.51,0.92,0.65,0.24
cg00000048,Gene2430,11,71965848,71965848,+,0.47,0.65,0.03,0.28,0.2,0.7,0.1,0.73,0.1,0.15,0.57,0.87,0.43,0.22,0.47,0.69,0.02,0.93,0.42,0.64,0.21,0.91,NA,0.57,0.49,0.28,0.54,NA,0.35,0.62,0.71,0.32,0.16,0.02,0.05,0.51,0.98,0.34,0.21,0.92,0.39,0.54,0.72,0.2,0.9,0.69,0.81,0.56,0.96,0.39
cg00000049,Gene1042,21,48082880,48082880,+,0.1,0.69,0.76,0.46,0.01,0.35,0.41,0.99,0.38,0.21,0.8,NA,0.02,0.2,0.61,0.06,0.25,0.87,0.82,0.43,0.39,0.13,NA,0.38,0.01,0.85,0.0,0.68,0.32,NA,0.81,0.46,0.34,0.49,0.3,0.19,0.1,0.68,0.58,0.41,0.65,0.1,0.74,0.38,0.3,0.36,0.85,0.04,0.21,0.29
cg00000050,Gene2189,7,95166081,95166081,+,0.81,0.28,0.24,0.69,0.77,0.46,0.83,0.65,0.61,NA,0.38,0.44,0.31,0.44,0.27,0.24,0.08,0.54,0.39,0.03,0.77,0.62,0.7,0.71,0.84,0.62,0.2,0.11,0.28,0.64,0.15,0.44,0.57,NA,0.85,0.38,0.92,0.73,0.95,0.74,0.85,0.27,0.19,0.55,NA,0.47,0.28,0.42,0.56,0.18
cg00000051,Gene4013,3,87652628,87652628,-,0.1,0.37,0.54,0.92,0.03,0.65,0.03,0.35,0.25,0.44,0.81,0.7,0.79,0.99,0.29,0.43,0.24,NA,0.93,0.52,0.45,0.39,0.24,0.19,0.78,0.48,0.25,0.22,0.51,0.74,0.52,NA,0.75,0.63,NA,0.09,0.72,0.64,0.15,0.67,0.55,0.01,0.64,0.07,0.28,0.8,0.26,0.07,0.84,0.44
cg00000052,Gene1559,21,35515319,35515319,-,0.97,0.42,0.5,NA,0.72,0.07,0.72,0.29,0.6,0.85,0.1,0.03,0.34,0.99,0.57,0.83,NA,0.9,0.63,0.28,0.72,0.63,0.1,0.3,0.15,0.31,0.88,1.0,0.91,0.71,0.2,0.81,0.46,0.73,0.44,0.32,0.9,0.92,0.09,0.49,0.36,0.46,0.62,0.65,0.47,0.75,0.13,0.26,0.3,0.31
cg00000053,Gene2839,20,27774933,27774933,+,0.84,0.14,0.52,0.21,0.04,0.5,0.9,0.37,0.84,0.65,0.64,0.72,0.99,0.32,0.66,0.06,0.38,0.87,0.68,0.42,0.61,0.62,0.44,0.43,0.31,0.72,0.15,0.78,0.56,0.92,0.75,0.99,0.98,0.58,0.9,NA,0.27,0.31,0.23,0.75,0.56,0.76,0.29,0.61,0.83,0.48,0.19,0.14,0.3,0.96
cg00000054,Gene1155,2,40400713,40400713,-,0.75,0.12,0.28,0.91,0.92,0.51,0.28,0.09,0.05,0.5,0.23,0.72,0.58,0.8,0.6,0.59,0.95,NA,0.48,0.71,NA,0.42,0.83,0.53,0.34,0.48,0.77,0.23,0.45,0.66,0.48,0.88,0.21,0.12,0.72,0.34,0.38,0.82,0.57,0.72,0.47,0.68,0.59,0.46,0.92,0.75,NA,0.11,0.57,0.71
cg00000055,Gene2932,13,96116371,96116371,+,0.25,0.2,0.29,0.56,0.07,0.29,0.0,0.01,0.86,0.82,0.44,0.75,0.94,0.28,0.05,0.02,0.01,0.16,0.59,0.26,0.22,0.22,0.44,0.96,0.82,0.83,0.1,0.45,0.77,0.23,0.73,0.49,0.46,0.91,0.44,0.6,0.71,NA,0.5,0.08,0.57,0.26,0.06,0.75,0.34,0.82,0.61,0.48,0.65,0.65
cg00000056,Gene3237,5,78818273,78818273,+,0.41,0.11,0.51,0.98,0.29,0.55,0.85,0.78,0.02,0.67,0.35,0.45,0.68,0.09,0.91,NA,0.26,0.77,0.89,0.96,0.04,0.27,0.05,0.1,0.99,0.11,0.53,0.88,0.23,0.63,0.3,0.12,0.03,0.44,0.24,0.57,0.02,0.42,0.78,0.67,0.45,0.39,0.76,0.9,0.56,0.37,0.72,0.5,0.25,0.65
cg00000057,Gene4164,8,12539290,12539290,+,0.4,0.11,0.5,0.85,0.64,0.04,0.46,0.12,0.27,0.29,0.22,0.7,0.34,0.4,0.54,0.63,0.16,0.82,0.57,0.39,NA,0.48,0.45,0.34,0.17,0.45,0.86,0.78,0.51,0.8,NA,0.71,0.41,0.49,0.7,0.94,0.3,0.43,0.9,0.82,0.21,0.2,0.36,0.36,0.74,NA,0.24,0.43,0.11,0.49
cg00000058,Gene3605,17,78682735,78682735,+,0.07,0.41,0.02,0.53,0.05,0.5,0.99,NA,0.86,0.48,0.36,0.76,0.64,0.22,0.7,0.42,0.61,0.47,0.03,0.52,0.35,0.02,0.85,0.16,0.17,0.54,0.89,0.28,0.91,0.82,0.66,0.8,0.73,0.54,0.97,0.12,0.7,0.27,0.05,0.07,0.41,0.59,0.13,0.42,0.53,0.74,0.39,NA,0.25,0.86
cg00000059,Gene3310,6,78863242,78863242,-,0.15,0.93,0.7,0.19,0.03,0.19,0.16,0.76,NA,0.26,0.01,0.59,0.92,0.09,0.46,0.6,0.06,0.08,0.12,0.41,0.08,0.18,0.7,0.2,0.79,0.76,0.04,0.19,0.09,0.3,0.67,0.16,0.47,NA,0.19,0.36,0.7,0.16,NA,0.89,0.45,0.26,0.94,0.22,0.25,0.95,0.35,0.65,0.3,0.35
